coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,paper_V_mean,paper_V_std,paper_L_mean,paper_L_std,flash,agtron
76.588,79.959,89.302,27.526,37.808,18.331,27.086,17.416,133.76,3.151,130.548,3.295,29.074,14.893,180.652,2.125,171.285,1.654,0,Agtron 25
53.522,72.518,85.334,30.746,36.735,17.594,26.72,16.499,133.026,2.966,130.98,3.433,28.716,14.033,180.652,2.125,171.285,1.654,0,Agtron 25
54.865,73.059,83.969,32.992,38.878,21.534,28.898,20.558,133.135,3.291,131.15,3.764,30.58,17.598,180.652,2.125,171.285,1.654,0,Agtron 25
58.338,74.367,85.061,32.101,38.763,21.057,28.567,20.025,133.273,3.259,131.061,3.853,30.319,17.111,180.652,2.125,171.285,1.654,0,Agtron 25
59.085,74.746,82.23,29.898,36.208,18.798,26.517,18.05,132.779,2.935,130.673,3.409,28.584,15.386,180.652,2.125,171.285,1.654,0,Agtron 25
92.65,69.615,73.003,31.95,30.043,17.933,21.343,16.958,131.614,3.232,128.776,3.37,24.004,14.781,178.874,2.132,177.843,1.598,0,Agtron 25
85.382,69.348,67.625,33.575,28.809,17.565,20.749,16.742,131.109,3.061,128.872,3.339,23.444,14.552,178.874,2.132,177.843,1.598,0,Agtron 25
89.82,65.671,63.525,33.035,28.745,16.741,21.1,16.469,130.787,2.897,128.376,3.174,23.74,14.345,178.874,2.132,177.843,1.598,0,Agtron 25
75.391,71.683,76.471,35.932,31.306,18.374,22.177,16.983,131.978,3.47,129.68,3.751,24.713,14.74,178.874,2.132,177.843,1.598,0,Agtron 25
90.694,69.495,66.563,30.851,29.079,17.397,21.119,17.294,131.091,2.836,128.593,3.035,23.856,15.062,178.874,2.132,177.843,1.598,0,Agtron 25
79.959,70.783,70.841,33.609,30.108,17.589,21.698,17.016,131.443,3.076,129.18,3.297,24.32,14.831,178.874,2.132,177.843,1.598,0,Agtron 25
75.626,69.709,71.968,34.538,30.223,17.314,21.601,16.085,131.473,3.187,129.343,3.528,24.227,13.891,178.874,2.132,177.843,1.598,0,Agtron 25
80.829,70.768,74.692,33.765,31.148,18.659,22.307,17.596,131.728,3.324,129.305,3.602,24.822,15.289,178.874,2.132,177.843,1.598,0,Agtron 25
29.102,56.432,108.021,30.868,48.504,24.029,35.498,21.95,135.27,3.487,134.087,4.594,36.11,18.662,178.88,2.021,178.674,1.389,0,Agtron 35
31.08,58.22,110.116,32.045,49.182,26.967,35.844,24.461,135.347,3.696,134.47,5.298,36.449,20.981,178.88,2.021,178.674,1.389,0,Agtron 35
28.094,55.314,112.434,32.432,45.836,23.432,32.512,20.736,135.212,3.682,134.201,5.092,33.549,17.521,178.88,2.021,178.674,1.389,0,Agtron 35
26.115,53.136,114.275,31.767,48.883,25.287,35.176,22.72,135.565,3.707,134.757,5.183,35.821,19.322,178.88,2.021,178.674,1.389,0,Agtron 35
29.296,56.392,109.201,29.113,47.845,22.403,34.894,20.398,135.196,3.292,134.135,4.564,35.572,17.207,178.88,2.021,178.674,1.389,0,Agtron 35
28.611,55.693,119.13,30.531,52.815,25.822,38.231,23.322,136.36,3.774,135.495,5.302,38.327,19.842,177.927,1.998,177.249,1.451,0,Agtron 35
24.297,51.168,120.266,30.018,51.017,25.617,36.471,23.008,136.151,3.69,135.462,5.282,36.89,19.576,177.927,1.998,177.249,1.451,0,Agtron 35
